classifier,Score,Alpha,Execution Time
Multinomial NB,0.3229105786090005,0.01,0.0033127307891845704
Multinomial NB,0.3425218410127099,0.02,0.00040030479431152344
Multinomial NB,0.35371402706308364,0.03,0.003023719787597656
Multinomial NB,0.3626967802954767,0.04,0.001200699806213379
Multinomial NB,0.36857544173365453,0.05,0.004199790954589844
Multinomial NB,0.37348105501665096,0.06,0.0002999067306518555
Multinomial NB,0.37529211613602803,0.07,0.0012037992477416993
Multinomial NB,0.3770793600339054,0.08,0.0029587507247924804
Multinomial NB,0.3784431327748159,0.09,0.0018045425415039063
Multinomial NB,0.3821667907669397,0.1,0.00449979305267334
Multinomial NB,0.38394267659670506,0.11,0.002700209617614746
Multinomial NB,0.386812815411677,0.12,0.002000164985656738
Multinomial NB,0.38484848484848483,0.13,0.0012000799179077148
Multinomial NB,0.381139122315593,0.14,0.0047998189926147464
Multinomial NB,0.3808226115057021,0.15,0.002299928665161133
Multinomial NB,0.37759105396283443,0.16,0.001100015640258789
Multinomial NB,0.3753311475409836,0.17,0.0036020517349243165
Multinomial NB,0.3779189288914659,0.18,0.001550602912902832
Multinomial NB,0.37897056778183136,0.19,0.0020000696182250976
Multinomial NB,0.3782214224934556,0.2,0.004399728775024414
Multinomial NB,0.37712419722338536,0.21,0.0009999275207519531
Multinomial NB,0.3767330448604733,0.22,0.0053002357482910155
Multinomial NB,0.37652374003816363,0.23,0.0018998384475708008
Multinomial NB,0.3753577512776831,0.24,0.003057432174682617
Multinomial NB,0.36580310880829014,0.25,0.003299856185913086
Multinomial NB,0.3665717110839062,0.26,0.001900029182434082
Multinomial NB,0.3632768361581921,0.27,0.005399942398071289
Multinomial NB,0.3636927299980135,0.28,0.0012999773025512695
Multinomial NB,0.3599144927447462,0.29,0.0038997650146484373
Multinomial NB,0.3588204560821193,0.3,0.0022999048233032227
Multinomial NB,0.35574957450317213,0.31,0.0025998592376708985
Multinomial NB,0.3511524576506526,0.32,0.002299928665161133
Multinomial NB,0.35298245614035084,0.33,0.001199960708618164
Multinomial NB,0.35488104104801244,0.34,0.002099919319152832
Multinomial NB,0.35353215442482494,0.35,0.0027475357055664062
Multinomial NB,0.3495507997474481,0.36,0.0010999202728271484
Multinomial NB,0.35188259490267776,0.37,0.004116630554199219
Multinomial NB,0.35096173521587887,0.38,0.001203775405883789
Multinomial NB,0.34920339333747147,0.39,0.0009752273559570313
Multinomial NB,0.34714595477457694,0.4,0.0053997039794921875
Multinomial NB,0.34616992763334226,0.41,0.0012000083923339843
Multinomial NB,0.34406200735680503,0.42,0.0023000240325927734
Multinomial NB,0.34527644177734623,0.43,0.0011000871658325196
Multinomial NB,0.34373881932021455,0.44,0.009009695053100586
Multinomial NB,0.34427065623937436,0.45,0.003682374954223633
Multinomial NB,0.33753379144860046,0.46,0.003220057487487793
Multinomial NB,0.33615743073539806,0.47,0.003899836540222168
Multinomial NB,0.32889645565701897,0.48,0.0017095565795898437
Multinomial NB,0.32843675599413213,0.49,0.004828786849975586
Multinomial NB,0.32371717171717174,0.5,0.0008017778396606446
Multinomial NB,0.32069918699186994,0.51,0.0061604022979736325
Multinomial NB,0.31791574187392396,0.52,0.0014024019241333009
Multinomial NB,0.318805672464209,0.53,0.0008522748947143554
Multinomial NB,0.3179893323335946,0.54,0.005901885032653808
Multinomial NB,0.3132060669456067,0.55,0.0021001338958740235
Multinomial NB,0.3131278357431633,0.56,0.0012000322341918946
Multinomial NB,0.3140911755822836,0.57,0.0025559186935424803
Multinomial NB,0.3144858801889855,0.58,0.0005012273788452149
Multinomial NB,0.3106566397652238,0.59,0.00319974422454834
Multinomial NB,0.3092695788765053,0.6,0.0011000633239746094
Multinomial NB,0.3080745341614906,0.61,0.0024000167846679687
Multinomial NB,0.30687695368002277,0.62,0.0010000705718994141
Multinomial NB,0.3053200901903702,0.63,0.0011560440063476563
Multinomial NB,0.30079043763254293,0.64,0.0019057512283325196
Multinomial NB,0.301280353200883,0.65,0.001828622817993164
Multinomial NB,0.3004038644282547,0.66,0.0019999265670776365
Multinomial NB,0.30039966819998487,0.67,0.0020997047424316405
Multinomial NB,0.29560498356646026,0.68,0.003621506690979004
Multinomial NB,0.294000819000819,0.69,0.0025000810623168946
Multinomial NB,0.29043363534225963,0.7,0.0016997575759887696
Multinomial NB,0.28755212677231023,0.71,0.004329276084899902
Multinomial NB,0.28104377372514666,0.72,0.0028570890426635742
Multinomial NB,0.2817551963048499,0.73,0.003953862190246582
Multinomial NB,0.2806739879414298,0.74,0.001653599739074707
Multinomial NB,0.27780621970480907,0.75,0.001603841781616211
Multinomial NB,0.2783930486550373,0.76,0.0062253475189208984
Multinomial NB,0.27529411764705886,0.77,0.0030660152435302733
Multinomial NB,0.2762389045006467,0.78,0.0015549898147583009
Multinomial NB,0.27725118483412325,0.79,0.004461956024169922
Multinomial NB,0.2776114194369083,0.8,0.0020029306411743163
Multinomial NB,0.2785714285714286,0.81,0.005399894714355469
Multinomial NB,0.2707224160088122,0.82,0.004413342475891114
Multinomial NB,0.27225009290226676,0.83,0.0015564441680908203
Multinomial NB,0.27137013353394773,0.84,0.0034072399139404297
Multinomial NB,0.2701940767998101,0.85,0.0024000167846679687
Multinomial NB,0.2669662597327694,0.86,0.006929826736450195
Multinomial NB,0.2676217903437117,0.87,0.0062236785888671875
Multinomial NB,0.26824059073726875,0.88,0.0019998788833618165
Multinomial NB,0.268942558030352,0.89,0.002100205421447754
Multinomial NB,0.26960784313725494,0.9,0.005831336975097657
Multinomial NB,0.26562172039558973,0.91,0.0011536836624145507
Multinomial NB,0.26376394386469953,0.92,0.005713653564453125
Multinomial NB,0.2605156037991858,0.93,0.010278773307800294
Multinomial NB,0.25894021291947794,0.94,0.0016559600830078126
Multinomial NB,0.25110966519999744,0.95,0.007497668266296387
Multinomial NB,0.24922299922299923,0.96,0.004399943351745606
Multinomial NB,0.24922299922299923,0.97,0.0017998456954956056
Multinomial NB,0.24255216421124057,0.98,0.003699946403503418
Multinomial NB,0.24255216421124057,0.99,0.002301931381225586
Multinomial NB,0.24142079103214886,1.0,0.005602407455444336
Bernoulli NB,0.41072050354894873,0.01,0.0355987548828125
Bernoulli NB,0.4185386473429952,0.02,0.02396712303161621
Bernoulli NB,0.41841545591755214,0.03,0.022159719467163087
Bernoulli NB,0.4177931034482759,0.04,0.004399776458740234
Bernoulli NB,0.4220116410117408,0.05,0.007700037956237793
Bernoulli NB,0.4202912214540121,0.06,0.0023000955581665037
Bernoulli NB,0.42132169960190186,0.07,0.010146188735961913
Bernoulli NB,0.4237713088580648,0.08,0.003800225257873535
Bernoulli NB,0.4273565168411242,0.09,0.0044002532958984375
Bernoulli NB,0.424770439207877,0.1,0.00182952880859375
Bernoulli NB,0.42321326876872317,0.11,0.003999829292297363
Bernoulli NB,0.4194791869822184,0.12,0.005099940299987793
Bernoulli NB,0.4214411638853231,0.13,0.006087446212768554
Bernoulli NB,0.42046615252784925,0.14,0.0026701211929321287
Bernoulli NB,0.42049508366396415,0.15,0.003500223159790039
Bernoulli NB,0.4222619974059662,0.16,0.006317424774169922
Bernoulli NB,0.4192091190543203,0.17,0.002539801597595215
Bernoulli NB,0.4192100182247966,0.18,0.006903839111328125
Bernoulli NB,0.42052723396006986,0.19,0.0031998872756958006
Bernoulli NB,0.4223234744831057,0.2,0.0017168998718261718
Bernoulli NB,0.4185531264692055,0.21,0.003906655311584473
Bernoulli NB,0.4187726209602392,0.22,0.0040131092071533205
Bernoulli NB,0.4125949713122222,0.23,0.011132407188415527
Bernoulli NB,0.4089760183381488,0.24,0.007099819183349609
Bernoulli NB,0.40100472141815224,0.25,0.0029999971389770507
Bernoulli NB,0.3915994543235287,0.26,0.005300140380859375
Bernoulli NB,0.38559503263106515,0.27,0.005500030517578125
Bernoulli NB,0.37379340621223045,0.28,0.004199981689453125
Bernoulli NB,0.36762268047150604,0.29,0.0020998477935791015
Bernoulli NB,0.35883588729609484,0.3,0.002400112152099609
Bernoulli NB,0.33546519925257473,0.31,0.003900027275085449
Bernoulli NB,0.32816617416999827,0.32,0.0018002510070800782
Bernoulli NB,0.3171396492886794,0.33,0.006600046157836914
Bernoulli NB,0.29663048075567455,0.34,0.0037998199462890626
Bernoulli NB,0.2719543413487768,0.35,0.0044001579284667965
Bernoulli NB,0.25668016194331983,0.36,0.0021999835968017577
Bernoulli NB,0.24580254247356542,0.37,0.0033002614974975584
Bernoulli NB,0.2349075831049265,0.38,0.003999924659729004
Bernoulli NB,0.23151111859838275,0.39,0.0047997236251831055
Bernoulli NB,0.21337842296271864,0.4,0.0022997379302978514
Bernoulli NB,0.2081644337570136,0.41,0.006700253486633301
Bernoulli NB,0.18643660482553107,0.42,0.003900027275085449
Bernoulli NB,0.17069899244332495,0.43,0.005000114440917969
Bernoulli NB,0.16554104368884887,0.44,0.0037996768951416016
Bernoulli NB,0.16047663676529658,0.45,0.003199911117553711
Bernoulli NB,0.1547634630090178,0.46,0.0029999494552612306
Bernoulli NB,0.14394413471384687,0.47,0.0020997047424316405
Bernoulli NB,0.13912978912978916,0.48,0.0024000167846679687
Bernoulli NB,0.13213145028230627,0.49,0.002799725532531738
Bernoulli NB,0.1281812538795779,0.5,0.013899493217468261
Bernoulli NB,0.1270013050259414,0.51,0.00729975700378418
Bernoulli NB,0.11409035409035409,0.52,0.004099750518798828
Bernoulli NB,0.11220146410944383,0.53,0.005399727821350097
Bernoulli NB,0.10976068161884478,0.54,0.008899688720703125
Bernoulli NB,0.10285669927029961,0.55,0.008499860763549805
Bernoulli NB,0.10046080536209875,0.56,0.008999872207641601
Bernoulli NB,0.1008340649692713,0.57,0.005999946594238281
Bernoulli NB,0.09853507271171943,0.58,0.010399746894836425
Bernoulli NB,0.09592526658394923,0.59,0.019599080085754395
Bernoulli NB,0.09604285405093428,0.6,0.02390296459197998
Bernoulli NB,0.09650384013394969,0.61,0.043812131881713866
Bernoulli NB,0.09086805939353745,0.62,0.03390161991119385
Bernoulli NB,0.08536130536130536,0.63,0.03929905891418457
Bernoulli NB,0.07964468533574225,0.64,0.03259921073913574
Bernoulli NB,0.07964468533574225,0.65,0.005200028419494629
Bernoulli NB,0.07706817055976833,0.66,0.013099861145019532
Bernoulli NB,0.07426577716432789,0.67,0.005200052261352539
Bernoulli NB,0.06841972872041949,0.68,0.003300166130065918
Bernoulli NB,0.06875,0.69,0.0035001039505004883
Bernoulli NB,0.06894654088050314,0.7,0.005099964141845703
Bernoulli NB,0.0630722076267813,0.71,0.003899979591369629
Bernoulli NB,0.06305418719211824,0.72,0.00839982032775879
Bernoulli NB,0.060017969451931705,0.73,0.002099895477294922
Bernoulli NB,0.05723732103858287,0.74,0.002300071716308594
Bernoulli NB,0.05741991941063942,0.75,0.005600094795227051
Bernoulli NB,0.05741991941063942,0.76,0.0032998085021972655
Bernoulli NB,0.05741991941063942,0.77,0.0022001266479492188
Bernoulli NB,0.05751327072274398,0.78,0.0064999103546142575
Bernoulli NB,0.05453964458005196,0.79,0.005299997329711914
Bernoulli NB,0.05453964458005196,0.8,0.008900022506713868
Bernoulli NB,0.05453964458005196,0.81,0.0021999359130859377
Bernoulli NB,0.054624803507901054,0.82,0.004599761962890625
Bernoulli NB,0.05152224824355972,0.83,0.002199864387512207
Bernoulli NB,0.05144724556489263,0.84,0.0029001235961914062
Bernoulli NB,0.05144724556489263,0.85,0.0037999391555786134
Bernoulli NB,0.05161324005429675,0.86,0.0035999059677124024
Bernoulli NB,0.048490835715486805,0.87,0.00279998779296875
Bernoulli NB,0.04862154327909781,0.88,0.0061997175216674805
Bernoulli NB,0.048687548427499394,0.89,0.0037998676300048826
Bernoulli NB,0.04551282051282051,0.9,0.003100013732910156
Bernoulli NB,0.04551282051282051,0.91,0.007199907302856445
Bernoulli NB,0.045605573419078234,0.92,0.001799941062927246
Bernoulli NB,0.04569892473118279,0.93,0.004399776458740234
Bernoulli NB,0.045737509273296124,0.94,0.004299974441528321
Bernoulli NB,0.045737509273296124,0.95,0.002200150489807129
Bernoulli NB,0.045737509273296124,0.96,0.004400110244750977
Bernoulli NB,0.042585321655089096,0.97,0.003500032424926758
Bernoulli NB,0.042585321655089096,0.98,0.003900027275085449
Bernoulli NB,0.04264069264069264,0.99,0.0031002521514892577
Bernoulli NB,0.04264069264069264,1.0,0.00240020751953125
